COMPONENTE,PROGRAMA,"CODIGO
CUPS ACTUALES ","CODIGO
CUPS NUEVOS ",ACTIVIDAD,FINALIDAD,DIAGNOSTICOS ,DESCRIPCIÓN FRECUENCIA,POBLACIÓN GRUPO ETAREO
PROTECCION ESPECIFICA,PAI,993102,993102,ADMINISTRACION VACUNA CONTRA TUBERCULOSIS (BCG),14,Z279,MENOR DE I MES,MENOR DE I MES
PROTECCION ESPECIFICA,PAI,993130,993130,VACUNACION PENTAVALENTE,14,Z279,MENORE DE 1 AÑO,MENORE DE 1 AÑO
PROTECCION ESPECIFICA,PAI,993122,993122,"VACUNACION COMBINADA CONTRA DIFTERIA, TETANOS, TOS FERINA - DPT",14,Z279,MENOR DE 5 AÑOS,MENOR DE 5 AÑOS
PROTECCION ESPECIFICA,PAI,993501,993501,VACUNACION CONTRA POLIOMIELITIS VOP o SRP ,14,Z279,MENOR DE 5 AÑOS,MENOR DE 5 AÑOS
PROTECCION ESPECIFICA,PAI,993522,993522,"VACUNACION COMBINADA CONTRA SARAMPION, PAROTIDITIS, RUBEOLA - TRIPLE VIRAL (MMR)",14,Z279,MENOR DE 5 AÑOS,MENOR DE 5 AÑOS
PROTECCION ESPECIFICA,PAI,993503,993503,VACUNACION CONTRA HEPATITIS B,14,Z279,MENORE DE 1 AÑO,MENORE DE 1 AÑO
PROTECCION ESPECIFICA,PAI,993512,993512,VACUNACION CONTRA ROTAVIRUS,14,Z279,MENORE DE 1 AÑO,MENORE DE 1 AÑO
PROTECCION ESPECIFICA,PAI,993106,993106,VACUNACION CONTRA NEUMOCOCO,14,Z279,MENOR DE 5 AÑOS,MENOR DE 5 AÑOS
PROTECCION ESPECIFICA,PAI,993510,993510,VACUNACION CONTRA INFLUENZA (ADULTO),14,Z279,MAYORES 60 AÑOS O SEGÚN LINEAMIENTOS PAI MINISTERIO,MAYORES 50 AÑOS O SEGÚN LINEAMIENTOS PAI MINISTERIO
PROTECCION ESPECIFICA,PAI,993510,993510,VACUNACION CONTRA INFLUENZA (NIÑOS),14,Z279,MENORES DE 23 MESES O SEGÚN LINEAMIENTOS PAI MINISTESRIO,MENORES DE 23 MESES O SEGÚN LINEAMIENTOS PAI MINISTESRIO
PROTECCION ESPECIFICA,PAI,993502,993502,VACUNACION CONTRA HEPATITIS A,14,Z279,MENOR DE 5 AÑOS,MENOR DE 5 AÑOS
PROTECCION ESPECIFICA,PAI,,993509,VACUNACION CONTRA VARICELA,14,Z279,MENORES DE 1 AÑO ,MENORES DE 1 AÑO 
PROTECCION ESPECIFICA,PAI,993509,993509,VACUNACION CONTRA VARICELA,14,Z279,MENOR DE 5 AÑOS (REFUERZO),MENOR DE 5 AÑOS
PROTECCION ESPECIFICA,PAI,993505,993505,VACUNACION CONTRA RABIA,14,Z279,TODA LA POBLACION QUE PRESENTE ACCIDENTE RABICO,SEGÚN RIESGO 
PROTECCION ESPECIFICA,PAI,993513,993513,VACUNACIONES CONTRA VPH MUJERES DE 9 A 17 AÑOS 11 MESES 29 DIAS,14,Z279,MUEJRES DE 9 A 17 AÑOS,MUEJRES DE 9 A 20 AÑOS
PROTECCION ESPECIFICA,PAI,993120,993120,VACUNACION CONTRA TETANOS Y DIFTERIA (Mujer en Edad Fértil de 10 a 49 años),14,Z279,MUJERES DE 10 A 49 AÑOS,MUJERES DE 10 A 49 AÑOS
PROTECCION ESPECIFICA,PAI,993520,993520,VACUNACION COMBINADA CONTRA SARAMPION Y RUBEOLA (SR DOBLE VIRAL),14,Z279,MENORES DE 2 A 11 AÑOS (niños nacidos a partir del 1 enero de 2010),MENORES DE 2 A 11 AÑOS (niños nacidos a partir del 1 enero de 2010)
PROTECCION ESPECIFICA,PAI,995202,995202,ADMINISTRACIÓN VACUNA SARS CoV 2 [COVID-19],14,Z279,,
PROTECCION ESPECIFICA,PAI,993504,993504,VACUNACION CONTRA FIEBRE AMARILLA,14,Z279,MENOR DE 5 AÑOS,MENOR DE 5 AÑOS
TRANSMISIBLES ,TRANSMISIBLES ,890205.8903,890205.8903,CONSEJERIA EN VIH (PRE Y POS TEST ),12,Z717,A PARTIR DE LOS 11 AÑOS EN ADELANTE SEGUN EXPOSIICION A RIESGO,  11 AÑOS EN ADELANTE 
,,906915,906915,PRUEBA NO TREPONEMICA,12,"Z113, Z114",A PARTIR DE LOS 11 AÑOS EN ADELANTE SEGUN EXPOSIICION A RIESGO,  11 AÑOS EN ADELANTE 
"EMBARAZO, PRUEBA ","EMBARAZO, PRUEBA ",904508,904508,PRUEBA RAPIDA DE EMBARAZO,12,Z320,TODAS LAS MUJERES EN EDAD FERTIL (COMPRENDIDAS ENTRE 10 A 49) SOLO UNA VEZ QUE INCIAN METODO ANTICONCEPTIVO, MUJERES 10 A 49 AÑOS 
