CodigoCUPS,DescripcionCUPS,Grupo,Ruta
902213,HEMOGLOBINA +(5857),LABORATORIO,PYMS
902214,HEMOPARASITOS. EXTENDIDO DE GOTA GRUESA *+(5858),LABORATORIO,MATERNO PERINATAL
902220,RECUENTO DE PLAQUETAS. METODO AUTOMATICO +(5864),LABORATORIO,MORBILIDAD
902221,RECUENTO DE PLAQUETAS. METODO MANUAL +(5865),LABORATORIO,MORBILIDAD
903426,HEMOGLOBINA GLICOSILADA AUTOMATIZADA(5979),LABORATORIO,MULTIRUTA
903427,HEMOGLOBINA GLICOSILADA MANUAL O SEMIAUTOMATIZADA(5980),LABORATORIO,MULTIRUTA
903801,ACIDO URICO EN SUERO U OTROS FLUIDOS(6020),LABORATORIO,MORBILIDAD
903809,BILIRRUBINAS TOTAL Y DIRECTA(6030),LABORATORIO,MORBILIDAD
903815,COLESTEROL DE ALTA DENSIDAD [HDL](6037),LABORATORIO,MULTIRUTA
903816,COLESTEROL DE BAJA DENSIDAD SEMIAUTOMATIZADO(6038),LABORATORIO,MULTIRUTA
903817,COLESTEROL DE BAJA DENSIDAD [LDL] AUTOMATIZADO(6039),LABORATORIO,CARDIOMETABOLICAS
903818,COLESTEROL TOTAL(6040),LABORATORIO,MULTIRUTA
903822,CREATINA(6044),LABORATORIO,MORBILIDAD
903824,CREATININA EN ORINA DE 24 H(6046),LABORATORIO,MORBILIDAD
903841,GLUCOSA EN SUERO. LCR U OTRO FLUIDO DIFERENTE A ORINA(6064),LABORATORIO,MULTIRUTA
903842,GLUCOSA PRE Y POST CARGA DE GLUCOSA(6065),LABORATORIO,MORBILIDAD
903843,GLUCOSA PRE Y POST PRANDIAL(6066),LABORATORIO,MORBILIDAD
903844,GLUCOSA. CURVA DE TOLERANCIA +(6067),LABORATORIO,MATERNO PERINATAL
903845,GLUCOSA. TEST O┐ SULLIVAN +(6068),LABORATORIO,MORBILIDAD
903856,NITROGENO UREICO [BUN] *+(6079),LABORATORIO,MORBILIDAD
903859,POTASIO EN SUERO U OTROS FLUIDOS(6082),LABORATORIO,MORBILIDAD
903864,SODIO EN SUERO U OTROS FLUIDOS(6087),LABORATORIO,MORBILIDAD
903883,GLUCOSA SEMIAUTOMATIZADA [GLUCOMETRIA](30051),LABORATORIO,MATERNO PERINATAL
